ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2023-12-01T16:00:00+01:00;99570;-40.0;5;360;4.8;282.55;281.95;96;4630.0;50;;;100.0;8;250.0;;;;99470.0;;;-400.0;;;;;282.15;;;7.3;8.5;-10.0;;0.0;;;0.2;0.8;0.8;0.8;0.8;;;;;7.0;;210.0;8.0;;540.0;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;Bruine, sans congélation, intermittente, faible au moment de l’observation;9.400000000000034;;;;;9.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;12
07643;2023-12-01T19:00:00+01:00;99810;240.0;1;340;3.4;281.55;280.35;92;16980.0;50;;;100.0;8;800.0;;;;99710.0;;;-120.0;281.35;;284.65;;281.25;;;6.2;7.4;-10.0;;0.0;;;0.2;1.4;2.2;2.2;2.2;;;;;8.0;;720.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;Bruine, sans congélation, intermittente, faible au moment de l’observation;8.400000000000034;8.200000000000045;;11.5;;8.100000000000023;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;12
07643;2023-12-03T01:00:00+01:00;102090;100.0;1;10;2.1;272.55;265.55;59;13770.0;0;;;;0;;;;;101990.0;;;2030.0;;;;;268.75;;;2.7;2.7;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;-0.5999999999999659;;;;;-4.399999999999977;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;12
07643;2023-11-18T13:00:00+01:00;102510;-70.0;8;190;3.1;289.85;278.45;47;60000.0;0;;;;0;;;;;102410.0;;;220.0;;;;;275.55;;;4.4;4.7;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.700000000000045;;;;;2.400000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-23T01:00:00+01:00;102370;120.0;1;350;6.5;282.15;269.55;41;60000.0;0;;;;0;;;;;102270.0;;;820.0;;;;;276.75;;;11.2;13.5;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;9.0;;;;;3.6000000000000227;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-27T19:00:00+01:00;100750;-140.0;6;340;0.8;281.45;273.65;58;32620.0;0;;;100.0;1;1250.0;;;;100650.0;;;-930.0;274.85;;283.05;;273.45;;;1.8;3.2;-10.0;;0.0;;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;1.0;;1470.0;8.0;;2820.0;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.300000000000011;1.7000000000000455;;9.900000000000034;;0.30000000000001137;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-20T04:00:00+01:00;101980;-80.0;8;290;1.8;283.95;282.25;89;53410.0;0;;;;3;7260.0;;;;101880.0;;;-320.0;;;;;280.05;;;2.3;2.3;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;7260.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;10.800000000000011;;;;;6.900000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-20T10:00:00+01:00;101920;10.0;1;270;1.7;289.05;283.35;69;29260.0;0;;;;0;;;;;101820.0;;;-410.0;;;;;278.15;;;2.3;2.4;-10.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.900000000000034;;;;;5.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-21T07:00:00+01:00;101300;-160.0;6;310;1.5;284.65;277.35;61;55000.0;0;;;;;;;;;101200.0;;;;284.65;;290.05;;282.15;;;;8.2;-10.0;;0.0;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.5;11.5;;16.900000000000034;;9.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
07643;2023-11-06T13:00:00+01:00;101490;-10.0;8;230;1.5;288.35;283.75;74;55000.0;0;;;100.0;;2250.0;;;;101390.0;;;;;;;;;;;;2.6;-10.0;;0.0;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.200000000000045;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;11
